0,A stained dark oak fireplace with coloured glass inserts and white ceramic tile mosaic surround.
1,"A set of seven units, consisting of two cupboards, four shelving units and a fireplace mantel."
2,"One of a set of seven units. A dark stained oak shelving unit. The unit is in two sections with six shelves, the top panel has coloured glass inserts and the bottom of each section has a shelf with a door and round metal handle."
3,One of a set of seven units. A dark oak stained cupboard with two doors and a rectangular central panel on each with coloured glass inserts. On either side of the door there is a thin tapering strip of wood reminiscent of a stem with three pierced squares.
4,"One of a set of seven units. A dark stained oak shelving unit. The unit is in two sections with six shelves, the top panel has coloured glass inserts and the bottom of each section has a shelf with a door and round metal handle."
5,"One of a set of seven units. A dark stained oak shelving unit. The unit is in two sections with six shelves, the top panel has coloured glass inserts and the bottom of each section has a shelf with a door and round metal handle."
6,"One of a set of seven units. A stained oak fireplace mantel. The mantel has a top shelf with twelve square pigeon holes underneath. On the left hand side of the surround there is a rectangular desk drawer which folds out, the door of the desk drawer has three square coloured glass inserts. Underneath the desk there is a pull out desk support and two rows of four storage compartments. On the the right hand side of the surround there is a cupoard with a door, the door has a rectangular panel with three square coloured glass inserts. The cupboard has two shelves inside, underneath the cupboard there is three storage compartments."
7,"One of a set of seven units. A dark stained oak shelving unit. The unit is in two sections with six shelves, the top panel has coloured glass inserts and the bottom of each section has a shelf with a door and round metal handle."
8,One of a set of seven units. A dark oak stained cupboard with two doors and a rectangular central panel on each with coloured glass inserts. On either side of the door there is a thin tapering strip of wood reminiscent of a stem with three pierced squares.
9,"One of a set of two easy armchair made from walnut with an arched padded back, two armrests and four turned baluster supports with brass caps and castors. The armchair is upholstered in a cream linen and has a bowed seat."
10,"One of a set of two easy armchair, made from walnut with an arched padded back, two armrests and four turned baluster supports with brass caps and castors. The armchair is upholestered in a cream linen and has a bowed seat."
11,"A wooden rectangular trinket box with a hinged lid and a metal clasp on the front. The top of the lid is painted with a floral decoration and an illustrated card which reads ""A Friends Wish...In friendship let me send this gift, to show my best endeavour, to prove that friendship can be true tho', distance may us sever."""
12,"A red glazed wooden box in the shape of a chestnut. Flat bottom, pointed tip and three lines engraved around the body."
13,A black iron fender with scrolling decoration.
14,"A metal fire iron with a twisted body, curved end and a looped handle."
15,A plain circular brass plate with lip round the edge.
16,A brass taper box with a lid. The box is D shaped and is mounted on a back with a hook at the top.
17,A rectangular brass tobacco with an embossed decoration around the edge. There is an illegible name engraved with dots on the front. The box has a lid attached with brass hinges.
18,A brass candle scone with a cylindrical candle holder attached to a semicircular tray. The candle sconce has an engraved decoration around the rim.
